267638390;function_rate;;name=swapBuffers_SW
417785900;function_rate;;name=swapBuffers_SW
567783960;function_rate;;name=swapBuffers_SW
715997260;function_rate;;name=swapBuffers_SW
864965430;function_rate;;name=swapBuffers_SW
1011095000;function_rate;;name=swapBuffers_SW
1157995910;function_rate;;name=swapBuffers_SW
1304987680;function_rate;;name=swapBuffers_SW
1452184800;function_rate;;name=swapBuffers_SW
1600053740;function_rate;;name=swapBuffers_SW
1747529320;function_rate;;name=swapBuffers_SW
1893359990;function_rate;;name=swapBuffers_SW
2039082510;function_rate;;name=swapBuffers_SW
2185348370;function_rate;;name=swapBuffers_SW
2332724740;function_rate;;name=swapBuffers_SW
2475770760;function_rate;;name=swapBuffers_SW
2620007710;function_rate;;name=swapBuffers_SW
2766129220;function_rate;;name=swapBuffers_SW
2908792970;function_rate;;name=swapBuffers_SW
3050059160;function_rate;;name=swapBuffers_SW
3194008450;function_rate;;name=swapBuffers_SW
3335402210;function_rate;;name=swapBuffers_SW
3477660950;function_rate;;name=swapBuffers_SW
3617015190;function_rate;;name=swapBuffers_SW
3758819300;function_rate;;name=swapBuffers_SW
3900756170;function_rate;;name=swapBuffers_SW
4040904730;function_rate;;name=swapBuffers_SW
4180527010;function_rate;;name=swapBuffers_SW
4321163930;function_rate;;name=swapBuffers_SW
4457492890;function_rate;;name=swapBuffers_SW
4596095100;function_rate;;name=swapBuffers_SW
4733304190;function_rate;;name=swapBuffers_SW
4868693340;function_rate;;name=swapBuffers_SW
